Date,AQI
01/01/2014,40
02/01/2014,33
03/01/2014,34
04/01/2014,25
05/01/2014,31
06/01/2014,27
07/01/2014,34
08/01/2014,35
09/01/2014,38
10/01/2014,40
11/01/2014,33
12/01/2014,29
13/01/2014,26
14/01/2014,28
15/01/2014,34
16/01/2014,44
17/01/2014,46
18/01/2014,39
19/01/2014,32
20/01/2014,44
21/01/2014,56
22/01/2014,53
23/01/2014,56
24/01/2014,57
25/01/2014,69
26/01/2014,64
27/01/2014,58
28/01/2014,56
29/01/2014,50
30/01/2014,34
31/01/2014,47
01/02/2014,41
02/02/2014,41
03/02/2014,49
04/02/2014,45
05/02/2014,43
06/02/2014,50
07/02/2014,53
08/02/2014,59
09/02/2014,59
10/02/2014,54
11/02/2014,51
12/02/2014,52
13/02/2014,61
14/02/2014,56
15/02/2014,44
16/02/2014,42
17/02/2014,45
18/02/2014,53
19/02/2014,64
20/02/2014,63
21/02/2014,50
22/02/2014,45
23/02/2014,41
24/02/2014,50
25/02/2014,62
26/02/2014,72
27/02/2014,66
28/02/2014,64
01/03/2014,65
02/03/2014,79
03/03/2014,81
04/03/2014,112
05/03/2014,64
06/03/2014,67
07/03/2014,67
08/03/2014,77
09/03/2014,118
10/03/2014,87
11/03/2014,80
12/03/2014,81
13/03/2014,129
14/03/2014,177
15/03/2014,107
16/03/2014,80
17/03/2014,70
18/03/2014,47
19/03/2014,48
20/03/2014,44
21/03/2014,53
22/03/2014,55
23/03/2014,51
24/03/2014,37
25/03/2014,42
26/03/2014,47
27/03/2014,56
28/03/2014,62
29/03/2014,58
30/03/2014,41
31/03/2014,43
01/04/2014,57
02/04/2014,57
03/04/2014,57
04/04/2014,48
05/04/2014,48
06/04/2014,25
07/04/2014,32
08/04/2014,42
09/04/2014,46
10/04/2014,51
11/04/2014,49
12/04/2014,32
13/04/2014,36
14/04/2014,41
15/04/2014,41
16/04/2014,39
17/04/2014,35
18/04/2014,36
19/04/2014,38
20/04/2014,44
21/04/2014,52
22/04/2014,46
23/04/2014,41
24/04/2014,37
25/04/2014,44
