date,aqi
2014-01-01, 47
2014-01-02, 38
2014-01-03, 33
2014-01-04, 30
2014-01-05, 36
2014-01-06, 33
2014-01-07, 29
2014-01-08, 44
2014-01-09, 42
2014-01-10, 26
2014-01-12, 30
2014-01-13, 30
2014-01-14, 32
2014-01-15, 36
2014-01-16, 45
2014-01-17, 51
2014-01-18, 40
2014-01-19, 36
2014-01-20, 42
2014-01-21, 48
2014-01-22, 44
2014-01-23, 55
2014-01-24, 63
2014-01-25, 50
2014-01-26, 44
2014-01-27, 43
2014-01-28, 39
2014-01-29, 31
2014-01-30, 33
2014-01-31, 35
2014-02-01, 41
2014-02-02, 39
2014-02-03, 37
2014-02-04, 37
2014-02-05, 35
2014-02-06, 35
2014-02-07, 32
2014-02-08, 33
2014-02-09, 33
2014-02-10, 32
2014-02-11, 30
2014-02-12, 33
2014-02-13, 32
2014-02-14, 35
2014-02-15, 37
2014-02-16, 44
2014-02-17, 37
2014-02-18, 35
2014-02-19, 35
2014-02-20, 33
2014-02-21, 34
2014-02-22, 32
2014-02-23, 38
2014-02-24, 43
2014-02-25, 43
2014-02-26, 38
2014-02-27, 26
2014-02-28, 27
2014-03-01, 27
2014-03-02, 35
2014-03-03, 39
2014-03-04, 42
2014-03-05, 41
2014-03-06, 34
2014-03-07, 33
2014-03-08, 37
2014-03-09, 34
2014-03-10, 32
2014-03-11, 31
2014-03-12, 32
2014-03-13, 37
2014-03-14, 35
2014-03-15, 26
2014-03-16, 25
2014-03-17, 30
2014-03-18, 29
2014-03-19, 40
2014-03-20, 41
2014-03-21, 45
2014-03-22, 52
2014-03-23, 45
2014-03-24, 32
2014-03-25, 36
2014-03-26, 32
2014-03-27, 34
2014-03-28, 37
2014-03-29, 26
2014-03-30, 30
2014-03-31, 24
2014-04-01, 21
2014-04-02, 29
2014-04-03, 24
2014-04-04, 26
2014-04-05, 22
2014-04-06, 27
2014-04-07, 27
2014-04-08, 26
2014-04-09, 26
2014-04-10, 27
2014-04-11, 31
2014-04-12, 42
2014-04-13, 44
2014-04-14, 44
2014-04-15, 36
2014-04-16, 33
2014-04-17, 28
2014-04-18, 29
2014-04-19, 29
2014-04-20, 33
2014-04-21, 33
2014-04-22, 28
2014-04-23, 27
2014-04-24, 32
2014-04-25, 28
2014-04-26, 28
2014-04-27, 27
2014-04-28, 31
2014-04-29, 28
2014-04-30, 25
2014-05-01, 28
2014-05-02, 28
2014-05-03, 28
2014-05-04, 32
2014-05-05, 29
2014-05-06, 24
2014-05-07, 29
2014-05-08, 26
2014-05-09, 28
2014-05-10, 31
2014-05-11, 33
2014-05-12, 24
2014-05-13, 22
2014-05-14, 19
2014-05-15, 18
2014-05-16, 20
2014-05-17, 20
2014-05-18, 22
2014-05-19, 25
2014-05-20, 26
2014-05-21, 24
2014-05-22, 26
2014-05-23, 26
2014-05-24, 43
2014-05-25, 32
2014-05-26, 23
2014-05-27, 25
2014-05-28, 23
2014-05-29, 20
2014-05-30, 17
2014-05-31, 22
2014-06-01, 21
2014-06-02, 21
2014-06-03, 25
2014-06-04, 22
2014-06-05, 21
2014-06-06, 32
2014-06-07, 35
2014-06-08, 33
2014-06-09, 30
2014-06-10, 30
2014-06-11, 25
2014-06-12, 17
2014-06-13, 24
2014-06-14, 27
2014-06-15, 38
2014-06-16, 41
2014-06-17, 39
2014-06-18, 47
2014-06-19, 46
2014-06-20, 47
2014-06-21, 51
2014-06-22, 52
2014-06-23, 39
2014-06-24, 33
2014-06-25, 36
2014-06-26, 55
2014-06-27, 58
2014-06-28, 30
2014-06-29, 20
2014-06-30, 13
2014-07-01, 18
2014-07-02, 22
2014-07-03, 25
2014-07-04, 27
2014-07-05, 24
2014-07-06, 20
2014-07-07, 22
2014-07-08, 24
2014-07-09, 28
2014-07-10, 26
2014-07-11, 26
2014-07-12, 30
2014-07-13, 37
2014-07-14, 35
2014-07-15, 33
2014-07-16, 24
2014-07-17, 22
2014-07-18, 31
2014-07-19, 41
2014-07-20, 56
2014-07-21, 58
2014-07-22, 57
2014-07-23, 38
2014-07-24, 48
2014-07-25, 49
2014-07-26, 39
2014-07-27, 23
2014-07-28, 26
2014-07-29, 22
2014-07-30, 22
2014-07-31, 25
2014-08-01, 31
2014-08-02, 30
2014-08-03, 31
2014-08-04, 48
2014-08-05, 45
2014-08-06, 25
2014-08-07, 21
2014-08-08, 26
2014-08-09, 33
2014-08-10, 33
2014-08-11, 26
2014-08-12, 20
2014-08-13, 21
2014-08-14, 19
2014-08-15, 20
2014-08-16, 18
2014-08-17, 22
2014-08-18, 22
2014-08-19, 18
2014-08-20, 16
2014-08-21, 18
2014-08-22, 22
2014-08-23, 25
2014-08-24, 19
2014-08-25, 22
2014-08-26, 19
2014-08-27, 17
2014-08-28, 22
2014-08-29, 24
2014-08-30, 27
2014-08-31, 31
2014-09-01, 33
2014-09-02, 34
2014-09-03, 33
2014-09-04, 27
2014-09-05, 24
2014-09-06, 18
2014-09-07, 18
2014-09-08, 16
2014-09-09, 16
2014-09-11, 57
2014-09-12, 47
2014-09-13, 26
2014-09-14, 19
2014-09-15, 17
2014-09-16, 18
2014-09-17, 25
2014-09-18, 50
2014-09-19, 42
2014-09-20, 23
2014-09-21, 15
2014-09-22, 16
2014-09-23, 17
2014-09-24, 29
2014-09-25, 30
2014-09-26, 36
2014-09-27, 30
2014-09-28, 32
2014-09-29, 27
2014-09-30, 20
2014-10-01, 21
2014-10-02, 23
2014-10-03, 20
2014-10-04, 16
2014-10-05, 7
2014-10-06, 18
2014-10-07, 16
2014-10-08, 34
2014-10-09, 47
2014-10-10, 46
2014-10-11, 50
2014-10-12, 47
2014-10-13, 26
2014-10-14, 30
2014-10-15, 28
2014-10-16, 24
2014-10-17, 29
2014-10-18, 27
2014-10-19, 24
2014-10-20, 31
2014-10-21, 42
2014-10-22, 34
2014-10-23, 27
