date,aqi
2014-01-01, 29
2014-01-02, 27
2014-01-03, 30
2014-01-04, 23
2014-01-05, 26
2014-01-06, 23
2014-01-07, 33
2014-01-08, 29
2014-01-09, 29
2014-01-10, 22
2014-01-11, 28
2014-01-12, 22
2014-01-13, 24
2014-01-14, 28
2014-01-15, 29
2014-01-16, 36
2014-01-17, 38
2014-01-18, 36
2014-01-19, 30
2014-01-20, 35
2014-01-21, 42
2014-01-22, 46
2014-01-23, 47
2014-01-24, 52
2014-01-25, 53
2014-01-26, 51
2014-01-27, 49
2014-01-28, 39
2014-01-29, 30
2014-01-30, 32
2014-01-31, 28
2014-02-01, 43
2014-02-02, 49
2014-02-03, 54
2014-02-04, 59
2014-02-05, 59
2014-02-06, 61
2014-02-07, 60
2014-02-08, 59
2014-02-09, 61
2014-02-10, 64
2014-02-11, 62
2014-02-12, 50
2014-02-13, 41
2014-02-14, 35
2014-02-15, 34
2014-02-16, 35
2014-02-17, 33
2014-02-18, 40
2014-02-19, 48
2014-02-20, 44
2014-02-21, 30
2014-02-22, 29
2014-02-23, 35
2014-02-24, 43
2014-02-25, 60
2014-02-26, 61
2014-02-27, 54
2014-02-28, 42
2014-03-01, 43
2014-03-02, 60
2014-03-03, 68
2014-03-04, 85
2014-03-05, 75
2014-03-06, 69
2014-03-07, 69
2014-03-08, 77
2014-03-09, 94
2014-03-10, 102
2014-03-11, 75
2014-03-12, 81
2014-03-13, 125
2014-03-14, 142
2014-03-15, 85
2014-03-16, 37
2014-03-17, 20
2014-03-18, 29
2014-03-19, 40
2014-03-20, 39
2014-03-21, 51
2014-03-22, 50
2014-03-23, 46
2014-03-24, 36
2014-03-25, 34
2014-03-26, 50
2014-03-27, 53
2014-03-28, 53
2014-03-29, 50
2014-03-30, 42
2014-03-31, 46
2014-04-01, 53
2014-04-02, 55
2014-04-03, 55
2014-04-04, 51
2014-04-05, 39
2014-04-06, 32
2014-04-07, 40
2014-04-08, 45
2014-04-09, 35
2014-04-10, 45
2014-04-11, 53
2014-04-12, 45
2014-04-13, 40
2014-04-14, 47
2014-04-15, 46
2014-04-16, 45
2014-04-17, 47
2014-04-18, 48
2014-04-19, 51
2014-04-20, 51
2014-04-21, 49
2014-04-22, 45
2014-04-23, 49
2014-04-24, 42
2014-04-25, 47
2014-04-26, 50
2014-04-27, 45
2014-04-28, 46
2014-04-29, 55
2014-04-30, 52
2014-05-01, 46
2014-05-02, 47
2014-05-03, 50
2014-05-04, 48
2014-05-05, 36
2014-05-06, 29
2014-05-07, 42
2014-05-08, 31
2014-05-09, 36
2014-05-10, 40
2014-05-11, 42
2014-05-12, 43
2014-05-13, 47
2014-05-14, 43
2014-05-15, 49
2014-05-16, 38
2014-05-17, 35
2014-05-18, 28
2014-05-19, 39
2014-05-20, 31
2014-05-21, 34
2014-05-22, 40
2014-05-23, 39
2014-05-24, 41
2014-05-25, 41
2014-05-26, 43
2014-05-27, 35
2014-05-28, 37
2014-05-29, 41
2014-05-30, 36
2014-05-31, 34
2014-06-01, 34
2014-06-02, 41
2014-06-03, 37
2014-06-04, 38
2014-06-05, 34
2014-06-06, 31
2014-06-07, 32
2014-06-08, 33
2014-06-09, 39
2014-06-10, 40
2014-06-11, 43
2014-06-12, 45
2014-06-13, 38
2014-06-14, 34
2014-06-15, 37
2014-06-16, 43
2014-06-17, 43
2014-06-18, 46
2014-06-19, 64
2014-06-20, 63
2014-06-21, 49
2014-06-22, 71
2014-06-23, 86
2014-06-24, 88
2014-06-25, 76
2014-06-26, 49
2014-06-27, 64
2014-06-28, 69
2014-06-29, 63
2014-06-30, 51
2014-07-01, 42
2014-07-02, 37
2014-07-03, 41
2014-07-04, 35
2014-07-05, 27
2014-07-06, 28
2014-07-07, 34
2014-07-08, 45
2014-07-09, 53
2014-07-10, 44
2014-07-11, 37
2014-07-12, 44
2014-07-13, 48
2014-07-14, 49
2014-07-15, 51
2014-07-16, 52
2014-07-17, 60
2014-07-18, 52
2014-07-19, 45
2014-07-20, 57
2014-07-21, 61
2014-07-22, 54
2014-07-23, 52
2014-07-24, 54
2014-07-25, 59
2014-07-26, 64
2014-07-27, 65
2014-07-28, 72
2014-07-29, 73
2014-07-30, 43
2014-07-31, 42
2014-08-01, 45
2014-08-02, 42
2014-08-03, 37
2014-08-04, 49
2014-08-05, 45
2014-08-06, 32
2014-08-07, 29
2014-08-08, 31
2014-08-09, 38
2014-08-10, 38
2014-08-11, 34
2014-08-12, 30
2014-08-13, 30
2014-08-14, 33
2014-08-15, 33
2014-08-16, 36
2014-08-17, 40
2014-08-18, 38
2014-08-19, 34
2014-08-20, 36
2014-08-21, 41
2014-08-22, 43
2014-08-23, 45
2014-08-24, 37
2014-08-25, 37
2014-08-26, 35
2014-08-27, 35
2014-08-28, 34
2014-08-29, 46
2014-08-30, 41
2014-08-31, 44
2014-09-01, 51
2014-09-02, 55
2014-09-03, 54
2014-09-04, 60
2014-09-05, 56
2014-09-06, 44
2014-09-07, 47
2014-09-08, 46
2014-09-09, 56
2014-09-10, 54
2014-09-11, 58
2014-09-12, 57
2014-09-13, 67
2014-09-14, 74
2014-09-15, 49
2014-09-16, 49
2014-09-17, 69
2014-09-18, 73
2014-09-19, 65
2014-09-20, 59
2014-09-21, 35
2014-09-22, 47
2014-09-23, 61
2014-09-24, 60
2014-09-25, 53
2014-09-26, 46
2014-09-27, 55
2014-09-28, 58
2014-09-29, 69
2014-09-30, 70
2014-10-01, 67
2014-10-02, 71
2014-10-03, 67
2014-10-04, 63
2014-10-05, 37
2014-10-06, 34
2014-10-07, 61
2014-10-08, 70
2014-10-09, 88
2014-10-10, 103
2014-10-11, 66
2014-10-12, 71
2014-10-13, 63
2014-10-14, 56
2014-10-15, 60
2014-10-16, 49
2014-10-17, 43
2014-10-18, 39
2014-10-19, 50
2014-10-20, 69
2014-10-21, 62
2014-10-22, 43
2014-10-23, 41
2014-10-24, 45
2014-10-25, 49
2014-10-26, 56
2014-10-27, 46
2014-10-28, 39
2014-10-29, 45
2014-10-30, 53
2014-10-31, 53
2014-11-01, 41
2014-11-02, 45
2014-11-03, 62
2014-11-04, 68
2014-11-05, 64
2014-11-06, 54
2014-11-07, 38
2014-11-08, 41
2014-11-09, 37
2014-11-10, 42
2014-11-11, 50
2014-11-12, 47
2014-11-13, 39
2014-11-14, 35
2014-11-15, 37
2014-11-16, 38
2014-11-17, 36
2014-11-18, 31
2014-11-19, 35
2014-11-20, 37
2014-11-21, 42
2014-11-22, 43
2014-11-23, 37
2014-11-24, 31
2014-11-25, 33
2014-11-26, 41
2014-11-27, 38
2014-11-28, 40
2014-11-29, 39
2014-11-30, 37
2014-12-01, 41
2014-12-02, 50
2014-12-03, 49
2014-12-04, 45
2014-12-05, 51
2014-12-06, 50
2014-12-07, 45
2014-12-08, 38
2014-12-09, 41
2014-12-10, 44
2014-12-11, 46
2014-12-12, 45
2014-12-13, 50
2014-12-14, 48
2014-12-15, 43
2014-12-16, 35
2014-12-17, 36
2014-12-18, 35
2014-12-19, 33
2014-12-20, 49
2014-12-21, 40
2014-12-22, 31
2014-12-23, 27
2014-12-24, 33
2014-12-25, 30
2014-12-26, 33
2014-12-27, 32
2014-12-28, 34
2015-01-01, 41
2015-01-02, 42
2015-01-04, 53
2015-01-05, 52
2015-01-06, 50
2015-01-07, 52
2015-01-08, 35
2015-01-09, 28
2015-01-10, 36
2015-01-11, 32
2015-01-12, 30
2015-01-13, 32
2015-01-14, 34
2015-01-15, 31
2015-01-16, 38
2015-01-17, 53
2015-01-18, 56
2015-01-19, 49
2015-01-20, 43
2015-01-21, 47
2015-01-22, 49
2015-01-23, 52
2015-01-24, 51
2015-01-25, 54
2015-01-26, 58
2015-01-27, 53
2015-01-28, 51
2015-01-29, 48
2015-01-30, 30
2015-01-31, 40
2015-02-01, 44
2015-02-02, 40
2015-02-03, 38
2015-02-04, 34
2015-02-05, 29
2015-02-06, 39
2015-02-07, 40
2015-02-08, 38
2015-02-09, 46
2015-02-10, 50
2015-02-11, 52
2015-02-12, 61
2015-02-13, 61
2015-02-14, 59
2015-02-15, 55
2015-02-16, 54
2015-02-17, 52
2015-02-18, 42
2015-02-19, 36
2015-02-20, 31
2015-02-21, 34
2015-02-22, 42
2015-02-23, 49
2015-02-24, 45
2015-02-25, 53
2015-02-26, 54
2015-02-27, 51
2015-02-28, 37
2015-03-01, 48
2015-03-02, 46
2015-03-03, 47
2015-03-04, 57
2015-03-05, 52
2015-03-06, 63
2015-03-07, 56
2015-03-08, 43
2015-03-09, 39
2015-03-10, 39
2015-03-11, 48
2015-03-12, 52
2015-03-13, 52
2015-03-14, 63
2015-03-15, 59
2015-03-16, 65
2015-03-17, 72
2015-03-18, 70
2015-03-19, 68
2015-03-20, 67
2015-03-21, 71
2015-03-22, 62
2015-03-23, 59
2015-03-24, 59
2015-03-25, 52
2015-03-26, 40
2015-03-27, 37
2015-03-28, 38
2015-03-29, 37
2015-03-30, 32
2015-03-31, 31
2015-04-01, 33
2015-04-02, 32
2015-04-03, 42
2015-04-04, 47
2015-04-05, 42
2015-04-06, 42
2015-04-07, 44
2015-04-08, 41
2015-04-09, 39
2015-04-10, 35
2015-04-11, 35
2015-04-12, 33
2015-04-13, 36
2015-04-14, 48
2015-04-15, 39
2015-04-16, 32
2015-04-17, 39
2015-04-18, 43
2015-04-19, 52
2015-04-20, 53
2015-04-21, 52
2015-04-22, 44
2015-04-23, 36
2015-04-24, 40
2015-04-25, 34
2015-04-26, 34
2015-04-27, 37
2015-04-28, 43
2015-04-29, 41
2015-04-30, 42
2015-05-01, 53
2015-05-02, 37
2015-05-03, 38
2015-05-04, 37
2015-05-05, 38
2015-05-06, 53
2015-05-07, 52
2015-05-08, 49
2015-05-09, 45
2015-05-10, 37
2015-05-11, 43
2015-05-12, 51
2015-05-13, 42
2015-05-15, 44
2015-05-16, 45
2015-05-17, 40
2015-05-18, 35
2015-05-19, 39
2015-05-20, 42
2015-05-21, 40
2015-05-22, 48
2015-05-23, 44
2015-05-24, 42
2015-05-25, 45
2015-05-26, 45
2015-05-27, 42
2015-05-28, 42
2015-05-29, 40
2015-05-30, 42
2015-05-31, 41
2015-06-01, 45
2015-06-02, 46
2015-06-03, 47
2015-06-04, 46
2015-06-05, 48
2015-06-06, 51
2015-06-07, 44
2015-06-08, 38
2015-06-09, 45
2015-06-10, 43
2015-06-11, 43
2015-06-12, 35
2015-06-13, 34
2015-06-14, 31
2015-06-15, 29
2015-06-16, 34
2015-06-17, 39
2015-06-18, 47
2015-06-19, 50
2015-06-20, 48
2015-06-21, 43
2015-06-22, 48
2015-06-23, 53
2015-06-24, 56
2015-06-25, 56
2015-06-26, 56
2015-06-27, 57
2015-06-28, 55
2015-06-29, 58
2015-06-30, 58
2015-07-01, 64
2015-07-02, 63
2015-07-03, 66
2015-07-04, 57
2015-07-05, 46
2015-07-06, 51
2015-07-07, 61
2015-07-08, 59
2015-07-09, 52
2015-07-10, 52
2015-07-11, 57
2015-07-12, 62
2015-07-13, 57
2015-07-14, 57
2015-07-15, 49
2015-07-16, 52
2015-07-17, 48
2015-07-18, 36
2015-07-19, 47
2015-07-20, 43
2015-07-21, 42
2015-07-22, 40
2015-07-23, 51
2015-07-24, 39
2015-07-25, 39
2015-07-26, 41
2015-07-27, 44
2015-07-28, 53
2015-07-29, 43
2015-07-30, 32
2015-08-02, 46
2015-08-03, 38
2015-08-04, 30
2015-08-05, 32
2015-08-06, 34
2015-08-07, 35
2015-08-08, 32
2015-08-09, 28
2015-08-10, 36
2015-08-11, 41
2015-08-12, 32
2015-08-13, 32
2015-08-14, 47
2015-08-15, 45
2015-08-16, 43
2015-08-17, 40
2015-08-18, 43
2015-08-20, 54
2015-08-21, 50
2015-08-22, 39
2015-08-23, 39
2015-08-24, 59
2015-08-25, 75
2015-08-26, 81
2015-08-27, 61
2015-08-28, 50
2015-08-29, 54
2015-08-30, 62
2015-08-31, 65
2015-09-01, 67
2015-09-02, 80
2015-09-03, 90
2015-09-04, 64
2015-09-05, 52
2015-09-06, 51
2015-09-07, 94
2015-09-08, 106
2015-09-09, 75
2015-09-10, 46
2015-09-11, 95
2015-09-12, 125
2015-09-13, 141
2015-09-14, 162
2015-09-15, 152
2015-09-16, 82
2015-09-17, 104
2015-09-18, 73
2015-09-19, 80
2015-09-20, 60
2015-09-21, 50
2015-09-22, 66
2015-09-23, 71
2015-09-24, 72
2015-09-25, 66
2015-09-26, 78
2015-09-27, 138
2015-09-28, 111
2015-09-29, 88
2015-09-30, 113
2015-10-01, 109
2015-10-02, 108
2015-10-03, 139
2015-10-04, 180
2015-10-05, 90
2015-10-06, 84
2015-10-07, 86
2015-10-08, 72
2015-10-09, 59
2015-10-10, 71
2015-10-11, 80
2015-10-12, 79
2015-10-13, 77
2015-10-14, 84
2015-10-15, 67
2015-10-16, 63
2015-10-17, 77
2015-10-18, 103
2015-10-19, 175
2015-10-20, 128
2015-10-21, 141
2015-10-22, 100
2015-10-23, 85
2015-10-24, 120
2015-10-25, 97
2015-10-26, 69
2015-10-27, 69
2015-10-28, 59
2015-10-29, 39
2015-10-30, 34
2015-10-31, 25
2015-11-01, 27
2015-11-02, 25
2015-11-03, 26
2015-11-04, 29
2015-11-05, 41
2015-11-06, 37
2015-11-07, 32
2015-11-08, 28
2015-11-09, 29
2015-11-10, 35
2015-11-11, 34
2015-11-12, 30
2015-11-13, 32
2015-11-14, 36
2015-11-15, 28
2015-11-16, 23
2015-11-17, 20
2015-11-18, 22
2015-11-19, 30
2015-11-20, 29
2015-11-21, 25
2015-11-22, 26
2015-11-23, 30
2015-11-24, 33
2015-11-25, 37
2015-11-26, 19
2015-11-27, 21
2015-11-28, 28
2015-11-29, 21
2015-11-30, 20
2015-12-01, 24
2015-12-02, 24
2015-12-03, 26
2015-12-04, 31
2015-12-05, 28
2015-12-06, 31
2015-12-07, 21
2015-12-08, 23
2015-12-09, 22
2015-12-10, 23
2015-12-11, 21
2015-12-12, 26
2015-12-13, 19
2015-12-14, 19
2015-12-15, 21
2015-12-16, 32
2015-12-17, 36
2015-12-18, 38
2015-12-19, 40
2015-12-20, 37
2015-12-21, 34
2015-12-22, 42
2015-12-23, 44
2015-12-24, 42
2015-12-25, 27
2015-12-26, 27
2015-12-27, 27
2015-12-28, 21
2015-12-29, 21
2015-12-30, 28
2016-01-04, 37
2016-01-05, 27
2016-01-06, 23
2016-01-07, 25
2016-01-08, 25
2016-01-09, 29
2016-01-10, 27
2016-01-11, 33
2016-01-12, 38
2016-01-13, 32
2016-01-14, 23
2016-01-15, 26
2016-01-16, 24
2016-01-17, 28
2016-01-18, 32
2016-01-19, 30
2016-01-20, 33
2016-01-21, 26
2016-01-22, 27
2016-01-23, 32
2016-01-24, 29
2016-01-25, 26
2016-01-26, 25
2016-01-27, 24
2016-01-28, 25
2016-01-29, 25
2016-01-30, 23
2016-01-31, 27
2016-02-01, 26
2016-02-02, 31
2016-02-03, 32
2016-02-04, 24
2016-02-05, 18
2016-02-06, 17
2016-02-07, 24
2016-02-08, 33
2016-02-09, 38
2016-02-10, 36
2016-02-11, 27
2016-02-12, 24
2016-02-13, 18
2016-02-14, 21
2016-02-15, 21
2016-02-16, 26
2016-02-17, 32
2016-02-18, 35
2016-02-19, 29
2016-02-20, 28
2016-02-21, 32
2016-02-22, 35
2016-02-23, 35
2016-02-24, 46
2016-02-25, 30
2016-02-26, 31
2016-02-27, 30
2016-02-28, 30
2016-02-29, 30
2016-03-01, 31
2016-03-02, 33
2016-03-03, 29
2016-03-04, 35
2016-03-05, 36
2016-03-06, 27
2016-03-07, 27
2016-03-08, 27
2016-03-09, 33
2016-03-10, 41
2016-03-11, 46
2016-03-12, 40
2016-03-13, 40
2016-03-14, 51
2016-03-15, 42
2016-03-16, 53
2016-03-17, 63
2016-03-18, 62
2016-03-19, 63
2016-03-20, 65
2016-03-21, 69
2016-03-22, 38
2016-03-23, 54
2016-03-24, 57
2016-03-25, 56
2016-03-26, 40
2016-03-27, 40
2016-03-28, 38
2016-03-29, 42
2016-03-30, 51
2016-03-31, 60
2016-04-01, 54
2016-04-02, 49
2016-04-03, 47
2016-04-04, 49
2016-04-05, 46
2016-04-06, 54
2016-04-07, 62
2016-04-08, 63
2016-04-09, 65
2016-04-10, 63
2016-04-11, 60
2016-04-12, 49
2016-04-13, 48
2016-04-14, 49
2016-04-15, 42
2016-04-16, 41
2016-04-17, 42
2016-04-18, 37
2016-04-19, 43
2016-04-20, 73
2016-04-21, 79
2016-04-22, 72
2016-04-23, 77
2016-04-24, 57
2016-04-25, 44
2016-04-26, 49
2016-04-27, 49
2016-04-28, 55
2016-04-29, 53
2016-04-30, 45
2016-05-01, 45
2016-05-02, 52
2016-05-03, 42
2016-05-04, 47
2016-05-05, 42
2016-05-06, 40
2016-05-07, 39
2016-05-08, 35
2016-05-09, 41
2016-05-10, 42
2016-05-11, 33
2016-05-12, 37
2016-05-13, 40
2016-05-14, 39
2016-05-15, 34
2016-05-16, 32
2016-05-17, 40
2016-05-18, 40
2016-05-19, 35
2016-05-20, 40
2016-05-21, 35
2016-05-22, 31
2016-05-23, 32
2016-05-24, 29
2016-05-25, 31
2016-05-26, 37
2016-05-27, 31
2016-05-28, 30
2016-05-29, 31
2016-05-30, 36
2016-05-31, 34
2016-06-01, 31
2016-06-02, 44
2016-06-03, 42
2016-06-04, 35
2016-06-05, 43
2016-06-06, 55
2016-06-07, 52
2016-06-08, 43
2016-06-09, 45
2016-06-10, 55
2016-06-11, 54
2016-06-12, 47
2016-06-13, 41
2016-06-14, 41
2016-06-15, 41
2016-06-16, 33
2016-06-17, 32
2016-06-18, 30
2016-06-19, 44
2016-06-20, 47
2016-06-21, 45
2016-06-22, 46
2016-06-23, 44
2016-06-24, 43
2016-06-25, 43
2016-06-26, 35
2016-06-27, 38
2016-06-28, 42
2016-06-29, 50
2016-06-30, 55
2016-07-01, 54
2016-07-02, 55
2016-07-03, 52
2016-07-04, 47
2016-07-05, 42
2016-07-07, 34
2016-07-08, 30
2016-07-09, 34
2016-07-10, 32
2016-07-11, 33
2016-07-12, 32
2016-07-13, 36
2016-07-14, 38
2016-07-15, 40
2016-07-16, 37
2016-07-17, 37
2016-07-18, 24
2016-07-19, 30
2016-07-20, 28
2016-07-21, 32
2016-07-22, 29
2016-07-23, 29
2016-07-24, 27
2016-07-25, 24
2016-07-26, 37
2016-07-27, 34
2016-07-28, 37
2016-07-29, 36
2016-07-30, 39
2016-07-31, 35
2016-08-01, 37
2016-08-02, 33
2016-08-03, 34
2016-08-04, 31
2016-08-05, 35
2016-08-06, 34
2016-08-07, 35
2016-08-08, 39
2016-08-09, 40
2016-08-10, 43
2016-08-11, 47
2016-08-12, 35
2016-08-13, 36
2016-08-14, 32
2016-08-15, 41
2016-08-16, 44
2016-08-17, 45
2016-08-18, 35
2016-08-19, 38
2016-08-20, 49
2016-08-21, 42
2016-08-22, 48
2016-08-23, 41
2016-08-24, 34
2016-08-25, 42
2016-08-26, 35
2016-08-27, 33
2016-08-28, 48
2016-08-29, 59
2016-08-30, 54
2016-08-31, 29
